,Unnamed: 0,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars)
0,1,54045,53764,57160
1,2,85385,82307,86376
2,3,57163,59700,61042
3,4,50415,51528,52449
4,5,68222,71015,73581
5,6,72043,75405,78384
6,7,85563,88819,91388
7,8,69394,72594,74931
8,9,72337,84094,94846
9,10,55774,57212,59339
10,11,57458,58885,61250
11,12,80316,79187,83823
12,13,56176,58101,60081
13,14,69557,71796,73884
14,15,59428,60780,63165
15,16,66684,67771,69382
16,17,64969,66425,69401
17,18,54690,54776,56187
18,19,55871,56573,58964
19,20,60141,62078,64651
20,21,87204,89678,91567
21,22,83813,87951,90590
22,23,60846,62143,63893
23,24,75112,77941,79893
24,25,47615,50178,50069
25,26,58754,61299,62989
26,27,60122,60643,64061
27,28,64763,66120,71039
28,29,59462,60824,63206
29,30,77646,80581,85873
30,31,85426,88419,90245
31,32,54565,54705,56207
32,33,70485,71115,73854
33,34,56111,57380,60074
34,35,73844,75221,79642
35,36,61030,62300,65176
36,37,56655,58710,60215
37,38,61767,62670,66287
38,39,66522,67876,70194
39,40,71608,71212,76623
40,41,54686,56491,59282
41,42,61299,66936,67643
42,43,54691,55557,57830
43,44,61208,62830,65316
44,45,67231,69535,71594
45,46,68382,67154,75595
46,47,75524,78290,80403
47,48,71371,74193,76954
48,49,51596,52413,53463
49,50,65618,67187,70870
50,51,71446,72460,75540
