,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Estimate; INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Estimate; INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars)
0,54045,53764,57160,59764,61512
1,85385,82307,86376,88604,86831
2,57163,59700,61042,63877,67886
3,50415,51528,52449,55484,57421
4,68222,71015,73581,77359,82009
5,72043,75405,78384,80761,84918
6,85563,88819,91388,94449,93870
7,69394,72594,74931,74251,77082
8,72337,84094,94846,98498,106528
9,55774,57212,59339,61289,64003
10,57458,58885,61250,65018,67983
11,80316,79187,83823,86768,91460
12,56176,58101,60081,63182,64178
13,69557,71796,73884,76950,79168
14,59428,60780,63165,66032,68085
15,66684,67771,69382,72351,75076
16,64969,66425,69401,70792,72057
17,54690,54776,56187,59023,61593
18,55871,56573,58964,57490,60510
19,60141,62078,64651,68277,72177
20,87204,89678,91567,95336,98393
21,83813,87951,90590,95207,98758
22,60846,62143,63893,67330,69664
23,75112,77941,79893,83344,86416
24,47615,50178,50069,52672,55937
25,58754,61299,62989,65058,67317
26,60122,60643,64061,66288,68994
27,64763,66120,71039,73488,75112
28,59462,60824,63206,65384,68276
29,77646,80581,85873,86696,91029
30,85426,88419,90245,94546,97300
31,54565,54705,56207,56802,58308
32,70485,71115,73854,77379,80114
33,56111,57380,60074,62289,65964
34,73844,75221,79642,79530,81869
35,61030,62300,65176,66722,69632
36,56655,58710,60215,61633,61471
37,61767,62670,66287,70929,73202
38,66522,67876,70194,72313,75949
39,71608,71212,76623,77940,84557
40,54686,56491,59282,61535,62432
41,61299,66936,67643,70853,73236
42,54691,55557,57830,60659,62926
43,61208,62830,65316,67025,70136
44,67231,69535,71594,74181,77940
45,68382,67154,75595,74805,74426
46,75524,78290,80403,83306,86279
47,71371,74193,76954,81234,84594
48,51596,52413,53463,56703,56086
49,65618,67187,70870,72891,75413
50,71446,72460,75540,73574,74868
